지역,중분류,유사도,세부사업명_A,예산_A,세부사업명_B,예산_B,예산일치_신뢰도높음
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 난방비 지원,74.0,어린이집 냉난방비 지원,74.0,True
경북,3. 모두의 역량이 고루 발휘되는 사회(자체),92.9,중학생 영어체험학습 지원,89.0,중학생 영어체험학습 지원사업,89.0,True
경기,1. 함께 일하고 함께 돌보는 사회(자체),97.7,"다자녀 가정, 한부모가정 수도요금 감면",0.0,"다자녀 가정, 한부모가정 하수도요금 감면",0.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),97.7,일생활 균형을 위한 사회적 분위기 확산,1.5,일･생활 균형을 위한 사회적 분위기 확산,1.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),97.3,정부지원 어린이집 차량운영비 지원,171.0,정부미지원 어린이집 차량운영비 지원,9.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),97.3,정부지원 어린이집 차량운영비 지원,171.0,정부미지원 어린이집 차량운영비 지원,5.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),97.3,정부지원 어린이집 차량운영비 지원,171.0,정부미지원 어린이집 차량운영비 지원,72.0,False
강원,2. 건강하고 능동적인 고령사회 구축(자체),97.1,저소득 노인세대 건강보험료 지원,77.0,저소득층 노인세대 건강보험료 지원,139.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),97.0,출산가정 수도요금 감면(신규),0.0,출산가정 하수도요금 감면(신규),0.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),97.0,임산부 태아 기형아 검사비 지원,24.0,임부 태아 기형아 검사비 지원,16.0,False
광주,2. 건강하고 능동적인 고령사회 구축(자체),96.8,노인장기요양보험 등급자 지원,48000.0,노인장기요양보험 등급외자 지원,222.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),96.8,저소득 노인 건강보험료 지원,40.0,저소득층 노인 건강보험료 지원,65.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),96.8,노인 목욕 및 이미용비 지원,2700.0,노인 목욕비 및 이미용비 지원,2935.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),96.6,육아종합지원센터 운영 지원,1249.0,육아종합지원센터 운영비 지원,545.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모･신생아 건강관리 지원,1700.0,산모신생아 건강관리 지원,1321.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모･신생아 건강관리 지원,1700.0,산모신생아 건강관리 지원,516.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모신생아 건강관리 지원,1321.0,산모신생아 건강관리사 지원,884.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모신생아 건강관리 지원,516.0,산모신생아 건강관리사 지원,884.0,False
전북,1. 함께 일하고 함께 돌보는 사회(자체),96.3,어린이집 안전공제회 지원,45.0,어린이집 안전공제회비 지원,3.4,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모신생아 건강관리사 지원,31.0,산모신생아 건강관리 지원,48.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),96.3,산모신생아 건강관리 지원,48.0,산모･신생아 건강관리 지원,44.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,16.0,어린이집 냉･난방비 지원,18.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,16.0,어린이집 냉･난방비 지원,31.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,16.0,어린이집 냉･난방비 지원,118.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,23.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,11.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,100.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,84.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,41.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,18.0,어린이집 냉난방비 지원,193.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,23.0,어린이집 냉･난방비 지원,31.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,23.0,어린이집 냉･난방비 지원,118.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,11.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,100.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,84.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,41.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,31.0,어린이집 냉난방비 지원,193.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,사립유치원 난방비 지원,4.0,사립유치원 냉난방비 지원,7.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,11.0,어린이집 냉･난방비 지원,118.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,100.0,어린이집 냉･난방비 지원,118.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,118.0,어린이집 냉난방비 지원,84.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,118.0,어린이집 냉난방비 지원,41.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,118.0,어린이집 냉난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,118.0,어린이집 냉난방비 지원,193.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,159.0,어린이집 냉･난방비 지원,7.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉난방비 지원,10.0,어린이집 냉･난방비 지원,7.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),96.0,어린이집 냉･난방비 지원,7.0,어린이집 냉난방비 지원,22.0,False
울산,2. 건강하고 능동적인 고령사회 구축(자체),95.8,(동구) 찾아가는 경로당 맞춤 프로그램 운영,15.0,(북구) 찾아가는 경로당 맞춤 프로그램 운영,35.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),95.7,출생아 건강보험금 지원,162.0,출생아 건강보험 지원,147.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),95.7,출생아 건강보험료 지원,91.0,출생아 건강보험 지원,147.0,False
경북,2. 건강하고 능동적인 고령사회 구축(자체),95.7,경로당 신축 및 개보수,1100.0,경로당 신축 및 보수,400.0,False
경북,2. 건강하고 능동적인 고령사회 구축(자체),95.7,경로당 신축 및 개보수,370.0,경로당 신축 및 보수,400.0,False
경북,4. 인구구조 변화에 대한 적응(자체),95.7,다문화가족의 안정적 정착 및 사회참여 확대,749.0,다문화가족 안정적 정착 및 사회 참여 확대,337.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,16.0,어린이집 냉방비 지원,44.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,16.0,어린이집 난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 급간식비 지원,105.0,어린이집 급식비 지원,178.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,23.0,어린이집 냉방비 지원,44.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,23.0,어린이집 난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,11.0,어린이집 냉방비 지원,44.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,11.0,어린이집 난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 급간식비 지원,20.0,어린이집 급식비 지원,178.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,100.0,어린이집 냉방비 지원,44.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,100.0,어린이집 난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉방비 지원,44.0,어린이집 냉난방비 지원,84.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉방비 지원,44.0,어린이집 냉난방비 지원,41.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉방비 지원,44.0,어린이집 냉난방비 지원,74.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉방비 지원,44.0,어린이집 냉난방비 지원,193.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 난방비 지원,74.0,어린이집 냉난방비 지원,84.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 난방비 지원,74.0,어린이집 냉난방비 지원,41.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 난방비 지원,74.0,어린이집 냉난방비 지원,193.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 급식비 지원,178.0,어린이집 급간식비 지원,1400.0,False
충남,1. 함께 일하고 함께 돌보는 사회(자체),95.7,어린이집 냉난방비 지원,60.0,어린이집 난방비 지원,26.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),95.5,다자녀(세자녀이상)가구 상수도 요금 감면,0.0,다자녀(세자녀이상)가구 하수도 요금 감면,0.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),95.2,유치원 난방비 지원,27.0,유치원 냉난방비 지원,15.0,False
인천,2. 건강하고 능동적인 고령사회 구축(자체),95.2,재가노인복지시설 지원 및 관리(등급자),94825.0,재가노인복지시설 지원 및 관리(등외자),3758.0,False
경기,2. 건강하고 능동적인 고령사회 구축(자체),94.7,경로당 운영 지원,28572.0,경로당 운영비 지원,492.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),94.7,아이사랑육아용대여,44.0,아이사랑육아용품대여,2.0,False
울산,1. 함께 일하고 함께 돌보는 사회(자체),94.7,(동구) 장애인가정 출산지원금 지원,6.0,(북구) 장애인가정 출산지원금 지원,13.0,False
울산,1. 함께 일하고 함께 돌보는 사회(자체),94.7,(남구) 출산가정 출산축하용품 지급,189.0,(동구) 출산가정 출산축하용품 지급,0.0,False
인천,2. 건강하고 능동적인 고령사회 구축(자체),94.7,노인요양시설 지원 및 관리(등급자),115406.0,노인요양시설 지원 및 관리(등외자),804.0,False
경기,3. 모두의 역량이 고루 발휘되는 사회(자체),94.4,청년 전월세 보증금 대출이자 지원,200.0,청년 전･월세보증금 대출이자 지원,53.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),94.4,정부지원 어린이집 차량운영비 지원,171.0,정부미지원어린이집 차량운영비 지원,10.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),94.4,저소득 노인세대 국민건강보험료 지원,80.0,저소득 노인세대 건강보험료 지원,12.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),94.4,저소득 노인세대 국민건강보험료 지원,80.0,저소득 노인세대 건강보험료 지원,32.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),94.4,저소득 노인세대 국민건강보험료 지원,98.0,저소득 노인세대 건강보험료 지원,12.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),94.4,저소득 노인세대 국민건강보험료 지원,98.0,저소득 노인세대 건강보험료 지원,32.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),94.4,난임부부 시술비 본인부담금 지원,48.0,난임부부 시술비 본인부담금 추가지원,66.0,False
경남,1. 함께 일하고 함께 돌보는 사회(자체),94.1,아이돌봄서비스 본인부담금 지원사업,279.0,아이돌봄서비스 본인부담금 지원,96.0,False
경남,2. 건강하고 능동적인 고령사회 구축(자체),94.1,노인 목욕비 및 이미용비 지원,846.0,노인 목욕비 및 이미용비 지원사업,516.0,False
경북,4. 인구구조 변화에 대한 적응(자체),94.1,귀농정착지원사업,550.0,귀농인정착지원사업,160.0,False
경북,4. 인구구조 변화에 대한 적응(자체),94.1,귀농인정착지원사업,160.0,귀농정착지원사업,200.0,False
강원,2. 건강하고 능동적인 고령사회 구축(자체),93.8,저소득 노인세대 건강보험료 지원,77.0,저소득 노인 건강보험료 지원,78.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,산모신생아 건강관리 지원사업,36177.0,산모･신생아 건강관리 지원 사업,30.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,산모신생아 건강관리 지원사업,200.0,산모･신생아 건강관리 지원 사업,30.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,산모신생아 건강관리 지원사업,947.0,산모･신생아 건강관리 지원 사업,30.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,다자녀 가정 상수도 요금 감면,0.0,다자녀 가정 하수도 요금 감면,0.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,산모신생아 건강관리 지원사업,500.0,산모･신생아 건강관리 지원 사업,30.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.8,산모신생아 건강관리 지원사업,275.0,산모･신생아 건강관리 지원 사업,30.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),93.8,임산부 및 영유아 영양제 지원,30.0,임산부 및 영유아 영양제 지급,2.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),93.8,임산부태아 기형아 검사비 지원,2.0,임부 태아 기형아 검사비 지원,16.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),93.8,저소득 노인 건강보험료 지원,40.0,저소득 노인세대 건강보험료 지원,12.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),93.8,저소득 노인 건강보험료 지원,40.0,저소득 노인세대 건강보험료 지원,32.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,2755.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,1100.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,1060.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,3698.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,1100.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,1339.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,2456.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,1830.0,출산장려 지원,955.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),93.3,출산장려금 지원,421.0,출산장려 지원,955.0,False
광주,1. 함께 일하고 함께 돌보는 사회(자체),93.3,셋째아 이상 출산장려금 지원,50.0,둘째아 이상 출산장려금 지원,89.0,False
광주,1. 함께 일하고 함께 돌보는 사회(자체),93.3,둘째아 이상 출산장려금 지원,89.0,셋째아 이상 출산장려금 지원,150.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),93.3,어린이집 친환경급식비 지원,45.0,어린이집 친환경 급간식비 지원,101.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),93.3,산모신생아 건강관리사지원 본인부담금 추가지원,8.0,산모신생아 건강관리 본인부담금 추가지원,20.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),93.3,노인목욕 및 이미용비 지원사업,729.0,노인목욕 및 이미용비 지원,617.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),93.3,노인 목욕비 및 이미용비 지원,2935.0,노인목욕 및 이미용비 지원,617.0,False
전북,2. 건강하고 능동적인 고령사회 구축(자체),93.3,전북 노인복지협회 행사지원,18.0,전북 재가노인복지협회 행사지원,22.0,False
충남,1. 함께 일하고 함께 돌보는 사회(자체),93.3,둘째이후 영유아 양육비 지원,1850.0,셋째이후 영유아 양육비 지원,216.0,False
충남,2. 건강하고 능동적인 고령사회 구축(자체),93.3,경로당 신증축 및 기능보강,4920.0,경로당 신증축 및 기능보강사업,900.0,False
충남,2. 건강하고 능동적인 고령사회(공통),93.3,노인일자리 및 사회활동지원사업,12820.0,노인일자리 및 사회활동지원,6947.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),93.3,산모신생아 건강관리 예외지원,78.0,산모신생아건강관리사 예외지원,10.0,False
충북,1. 함께 일하고 함께 돌보는 사회(자체),93.3,어린이집 아동 간식비 지원,177.0,어린이집 재원아동 간식비 지원,437.0,False
강원,1. 함께 일하고 함께 돌보는 사회(자체),92.9,보육교직원 근속수당 지원,20.0,보육교직원 장기근속수당 지원,37.0,False
강원,1. 함께 일하고 함께 돌보는 사회(자체),92.9,보육교직원 근속수당 지원,20.0,보육교직원 장기근속수당 지원,40.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원사업,36177.0,산모신생아 건강관리 지원,1321.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원사업,36177.0,산모신생아 건강관리 지원,516.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모･신생아 건강관리 지원,1700.0,산모신생아 건강관리사 지원,884.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,1321.0,산모신생아 건강관리 지원사업,200.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,1321.0,산모신생아 건강관리 지원사업,947.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,1321.0,산모신생아 건강관리 지원사업,500.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,1321.0,산모신생아 건강관리 지원사업,275.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,516.0,산모신생아 건강관리 지원사업,200.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,516.0,산모신생아 건강관리 지원사업,947.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,516.0,산모신생아 건강관리 지원사업,500.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,산모신생아 건강관리 지원,516.0,산모신생아 건강관리 지원사업,275.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,육아종합지원센터 운영지원,550.0,육아종합지원센터 운영비 지원,545.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),92.9,육아종합지원센터 운영지원,874.0,육아종합지원센터 운영비 지원,545.0,False
경기,3. 모두의 역량이 고루 발휘되는 사회(자체),92.9,신중년 사회공헌활동 지원,2002.0,신중년 사회공헌활동 지원사업,49.0,False
경남,1. 함께 일하고 함께 돌보는 사회(자체),92.9,아빠 육아휴직 장려금 지급,120.0,아빠 육아휴직 장려금 지원,36.0,False
경북,3. 모두의 역량이 고루 발휘되는 사회(자체),92.9,청소년 교육 프로그램 운영,113.0,청소년 육성 프로그램 운영,57.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),92.9,사립유치원 냉난방비 지원사업,15.0,사립유치원 냉난방비 지원,7.0,False
